en_sentence	fa_sentence	translation	variety	county	orthography	translator
I was four hours under these circumstances	چهار ساعت با این وضع به سر بردم	چار ساعَت هْنجورَه مَندیمَه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
in plaid frock and trousers.	نیم تنه و شلوار شطرنجی پوشیده بود.	شطرنجییَه جْرقَه و شْوارْش دَرییا.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I won't let it end like this.	من اجازه نخواهم داد که ماجرا به این شکل پایان یابد.	از نییَرزم‌‌ کو داستان عْنجورَه تمون آبو.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
trying to grasp the old lady's meaning	سعی کرد که قصد بانوی سالخورده را درک کند.	خَیلی سَکْراتش کَردَه تا پیرَ یِنَکی منظوری بْفَمْه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
he picked up the paper.	روزنامه را از کنار میز برداشت	روزنومه میزی وَری کو پیگِتْشه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
she might be required to sink herself forever.	شاید این دختر نازنین برای همیشه از دست برود.	شایدا ام قشنگهَ کیلَه همیشَه را چْمه دس دِ بشو	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
he ordered me in with an oath	با دشنامی تهدیدآمیز فرمانم داد	فَشینه من فْرمون دوشَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
so truly was he captivated.	کلاید به راستی اسیر شده بود.	کلاید راس راسَکی اسیر با	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
she asked, her voice rough with stress and fear.	صدایش از استرس و ترس خشک و گرفته بود.او پرسید	چه صدا استرس و ترس دره گریا. اَی دَفَرسَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I raised myself gently upon my knees	آهسته به قوت زانو برخاستم	یَواشینَه زونو نَه ایشتیمَه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
yet every circumstancesurrounding him at the time seem to indicate that he did do it.	با این حال تمام شواهد و قرائن موجود از جرم او حکایت کنند.	با اْمْ حال هَمَه یه مدارِکِن نشون دَن اَ گْناکارَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I immediately turned this thought over in my head, creating lyrics.	بلافاصله این افکار را در ذهنم گرداندم و شعر ساختم.	ایی دَفَعی اْم فیکرون چْمْ کله کو گاردْندْمَه اَی نَه شعر ساتْمَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
thinking that it was a medal of solid gold	با این گمان که مدال از طلای ناب خواهد بود.	ام فیکری نَه کو اَ میدال نابَ طیلا کو اِستَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
but I felt so sorry for them	ولی خیلی برایشان احساس تأسف کردم	وَلی خَیلی اَوون را تَسْف هَردْمَه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I've loved life too much, shamefully much.	من زندگی را زیاد دوست دارم. بدبختی همین است.	از زنْدْگی نَه وییَر خْشیمَه. بدبَختی هْمَه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	اما در حالی که روی دستها و زانوانشان میخزیدند و از لا به لای بوته ها پیش می آمدند و سرانجام با شلیک همزمان تفنگهایشان حضور خود را اعلام کردند و پس از آن شلیکها نیز بسیاری از سربازان از روی زین اسبها به زیر افتادند.	اما در حالیکو سینَه ویسنِه کرین و نیهالون مینی کو جلو آین و آخْرْنَه‌سَر اشتن تفنگون گولون ایله ویداشتشونَه و اْشْتَن صْفَت دوشونَه و بَدَز اَ ویداشته نی خَیلی از سربازن اسبون زینی سری کو جیر ویلَکینَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
like a man accustomed to that kind of gymnastic exercise	مانند ژیمناستیک کاری که به این کار فادت دارد	ژیمناستیک کاری شی کْ اْم کارینَه خوکَرد آبَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
listening to the echoing footsteps of years.	به طنین صدای پای زمان گوش فرامی داد.	زمانی پا صْتا کْرا گوش آکَری	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I must see the lady.	من فقط باید این خانم را ببینم.	از فقط پی اْم یِنَکی بْوینْم.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
he struck you as being pretty handy.	به نظر توهم آدم بدرد بخوریه	اْشْتْه نظر دِرِه نی بدربخوره ادمیه ؟	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
but it was safe out of his reach.	اما سوسک از دسترس او دور بود.	اما بْزبْزَه چِه دایرَه کو دور مَندا.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I have lost all my illusions.	تمام آمال و آرزوهایم بر باد رفت.	چْمْه ناجِن همه بْ باد شینَه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
all of them silent now, their owners dead or fled.	صاحبانشان یا مرده بودند و یا فرار کرده بودند.	چَوون صِیِبِن یا مَردَینا یا دَوَشتَینا.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
